RANKING,CD_GEOCODM,MUNICÍPIO,ESTADO,IDHM,RENDA,LONGEVIDADE,EDUCACAO
5531,210015,ÁGUA DOCE DO MARANHÃO,MA,0.5,0.494,0.697,0.363
4786,210020,ALCÂNTARA,MA,0.573,0.525,0.753,0.475
5490,210030,ALDEIAS ALTAS,MA,0.513,0.5,0.72,0.374
5209,210040,ALTAMIRA DO MARANHÃO,MA,0.549,0.486,0.719,0.473
5146,210043,ALTO ALEGRE DO MARANHÃO,MA,0.554,0.516,0.744,0.444
5081,210047,ALTO ALEGRE DO PINDARÉ,MA,0.558,0.465,0.774,0.483
3433,210050,ALTO PARNAÍBA,MA,0.633,0.683,0.785,0.474
5458,210055,AMAPÁ DO MARANHÃO,MA,0.52,0.503,0.688,0.406
5128,210060,AMARANTE DO MARANHÃO,MA,0.555,0.541,0.716,0.441
4614,210070,ANAJATUBA,MA,0.581,0.523,0.762,0.492
4614,210080,ANAPURUS,MA,0.581,0.511,0.764,0.502
4884,210083,APICUM-AÇU,MA,0.568,0.529,0.718,0.483
5370,210087,ARAGUANÃ,MA,0.533,0.483,0.706,0.444
5453,210090,ARAIOSES,MA,0.521,0.497,0.709,0.402
5494,210095,ARAME,MA,0.512,0.525,0.701,0.365
3561,210100,ARARI,MA,0.626,0.587,0.764,0.546
3275,210110,AXIXÁ,MA,0.641,0.535,0.776,0.634
3090,210120,BACABAL,MA,0.651,0.619,0.753,0.591
3501,210125,BACABEIRA,MA,0.629,0.558,0.768,0.58
4670,210130,BACURI,MA,0.578,0.54,0.737,0.484
5345,210135,BACURITUBA,MA,0.537,0.474,0.681,0.479
2251,210140,BALSAS,MA,0.687,0.674,0.807,0.597
4331,210150,BARÃO DE GRAJAÚ,MA,0.592,0.578,0.743,0.484
3999,210160,BARRA DO CORDA,MA,0.606,0.585,0.763,0.498
4841,210170,BARREIRINHAS,MA,0.57,0.515,0.752,0.479
5146,210177,BELA VISTA DO MARANHÃO,MA,0.554,0.515,0.735,0.45
5494,210173,BELÁGUA,MA,0.512,0.417,0.707,0.455
5253,210180,BENEDITO LEITE,MA,0.546,0.531,0.719,0.426
4123,210190,BEQUIMÃO,MA,0.601,0.51,0.757,0.561
4055,210193,BERNARDO DO MEARIM,MA,0.604,0.544,0.742,0.547
5268,210197,BOA VISTA DO GURUPI,MA,0.545,0.515,0.681,0.461
5339,210200,BOM JARDIM,MA,0.538,0.519,0.75,0.4
5081,210203,BOM JESUS DAS SELVAS,MA,0.558,0.537,0.751,0.431
5002,210207,BOM LUGAR,MA,0.562,0.486,0.741,0.493
5002,210210,BREJO,MA,0.562,0.517,0.758,0.454
5461,210215,BREJO DE AREIA,MA,0.519,0.507,0.677,0.408
5225,210220,BURITI,MA,0.548,0.479,0.714,0.48
4395,210230,BURITI BRAVO,MA,0.59,0.539,0.752,0.506
5116,210232,BURITICUPU,MA,0.556,0.533,0.708,0.455
4562,210235,BURITIRANA,MA,0.583,0.54,0.725,0.505
5345,210237,CACHOEIRA GRANDE,MA,0.537,0.422,0.773,0.476
5157,210240,CAJAPIÓ,MA,0.553,0.466,0.72,0.505
5444,210250,CAJARI,MA,0.523,0.456,0.747,0.421
3070,210255,CAMPESTRE DO MARANHÃO,MA,0.652,0.611,0.774,0.586
5027,210260,CÂNDIDO MENDES,MA,0.561,0.52,0.745,0.456
4941,210270,CANTANHEDE,MA,0.565,0.497,0.774,0.468
5345,210275,CAPINZAL DO NORTE,MA,0.537,0.517,0.698,0.43
3407,210280,CAROLINA,MA,0.634,0.6,0.802,0.529
4764,210290,CARUTAPERA,MA,0.574,0.533,0.747,0.476
3607,210300,CAXIAS,MA,0.624,0.595,0.753,0.543
4029,210310,CEDRAL,MA,0.605,0.52,0.748,0.57
4515,210312,CENTRAL DO MARANHÃO,MA,0.585,0.503,0.713,0.557
5293,210315,CENTRO DO GUILHERME,MA,0.542,0.51,0.707,0.442
5467,210317,CENTRO NOVO DO MARANHÃO,MA,0.518,0.508,0.717,0.382
4055,210320,CHAPADINHA,MA,0.604,0.554,0.77,0.517
4144,210325,CIDELÂNDIA,MA,0.6,0.562,0.728,0.529
4255,210330,CODÓ,MA,0.595,0.568,0.754,0.492
4965,210340,COELHO NETO,MA,0.564,0.544,0.728,0.454
4238,210350,COLINAS,MA,0.596,0.571,0.709,0.524
5494,210355,CONCEIÇÃO DO LAGO-AÇU,MA,0.512,0.492,0.738,0.37
4718,210360,COROATÁ,MA,0.576,0.545,0.737,0.475
3866,210370,CURURUPU,MA,0.612,0.568,0.768,0.525
3984,210375,DAVINÓPOLIS,MA,0.607,0.561,0.747,0.535
3653,210380,DOM PEDRO,MA,0.622,0.582,0.759,0.545
5370,210390,DUQUE BACELAR,MA,0.533,0.485,0.693,0.451
4495,210400,ESPERANTINÓPOLIS,MA,0.586,0.561,0.713,0.503
2924,210405,ESTREITO,MA,0.659,0.666,0.8,0.536
5382,210407,FEIRA NOVA DO MARANHÃO,MA,0.532,0.511,0.729,0.405
5564,210408,FERNANDO FALCÃO,MA,0.443,0.417,0.728,0.286
5116,210409,FORMOSA DA SERRA NEGRA,MA,0.556,0.485,0.774,0.459
3771,210410,FORTALEZA DOS NOGUEIRAS,MA,0.616,0.566,0.773,0.534
4638,210420,FORTUNA,MA,0.58,0.558,0.706,0.494
4055,210430,GODOFREDO VIANA,MA,0.604,0.537,0.75,0.546
4884,210440,GONÇALVES DIAS,MA,0.568,0.542,0.758,0.445
4941,210450,GOVERNADOR ARCHER,MA,0.565,0.545,0.687,0.481
3501,210455,GOVERNADOR EDISON LOBÃO,MA,0.629,0.589,0.764,0.552
4802,210460,GOVERNADOR EUGÊNIO BARROS,MA,0.572,0.55,0.736,0.462
5277,210462,GOVERNADOR LUIZ ROCHA,MA,0.544,0.508,0.692,0.459
5453,210465,GOVERNADOR NEWTON BELLO,MA,0.521,0.509,0.718,0.387
4869,210467,GOVERNADOR NUNES FREIRE,MA,0.569,0.54,0.722,0.472
4841,210470,GRAÇA ARANHA,MA,0.57,0.538,0.748,0.459
3927,210480,GRAJAÚ,MA,0.609,0.603,0.754,0.497
3587,210490,GUIMARÃES,MA,0.625,0.535,0.772,0.592
5361,210500,HUMBERTO DE CAMPOS,MA,0.535,0.443,0.759,0.455
5253,210510,ICATU,MA,0.546,0.475,0.727,0.472
4869,210515,IGARAPÉ DO MEIO,MA,0.569,0.53,0.687,0.506
3820,210520,IGARAPÉ GRANDE,MA,0.614,0.578,0.747,0.536
993,210530,IMPERATRIZ,MA,0.731,0.697,0.803,0.698
5467,210535,ITAIPAVA DO GRAJAÚ,MA,0.518,0.456,0.726,0.419
4167,210540,ITAPECURU MIRIM,MA,0.599,0.534,0.747,0.539
3487,210542,ITINGA DO MARANHÃO,MA,0.63,0.601,0.764,0.545
5027,210545,JATOBÁ,MA,0.561,0.522,0.702,0.481
5541,210547,JENIPAPO DOS VIEIRAS,MA,0.49,0.445,0.766,0.346
3275,210550,JOÃO LISBOA,MA,0.641,0.585,0.785,0.573
5027,210560,JOSELÂNDIA,MA,0.561,0.533,0.743,0.445
5169,210565,JUNCO DO MARANHÃO,MA,0.552,0.55,0.69,0.443
4416,210570,LAGO DA PEDRA,MA,0.589,0.561,0.724,0.502
4614,210580,LAGO DO JUNCO,MA,0.581,0.537,0.741,0.492
4101,210594,LAGO DOS RODRIGUES,MA,0.602,0.555,0.737,0.534
5098,210590,LAGO VERDE,MA,0.557,0.508,0.731,0.466
4921,210592,LAGOA DO MATO,MA,0.566,0.525,0.726,0.475
5524,210596,LAGOA GRANDE DO MARANHÃO,MA,0.502,0.48,0.731,0.36
4416,210598,LAJEADO NOVO,MA,0.589,0.561,0.738,0.494
4614,210600,LIMA CAMPOS,MA,0.581,0.578,0.705,0.481
4590,210610,LORETO,MA,0.582,0.516,0.771,0.495
4444,210620,LUÍS DOMINGUES,MA,0.588,0.541,0.734,0.512
4903,210630,MAGALHÃES DE ALMEIDA,MA,0.567,0.502,0.729,0.499
4590,210632,MARACAÇUMÉ,MA,0.582,0.546,0.719,0.501
5562,210635,MARAJÁ DO SENA,MA,0.452,0.4,0.774,0.299
5194,210637,MARANHÃOZINHO,MA,0.55,0.497,0.719,0.465
4841,210640,MATA ROMA,MA,0.57,0.483,0.776,0.494
3721,210650,MATINHA,MA,0.619,0.579,0.731,0.56
5194,210660,MATÕES,MA,0.55,0.519,0.739,0.434
5370,210663,MATÕES DO NORTE,MA,0.533,0.452,0.768,0.436
5416,210667,MILAGRES DO MARANHÃO,MA,0.527,0.465,0.764,0.413
5268,210670,MIRADOR,MA,0.545,0.485,0.74,0.451
3902,210675,MIRANDA DO NORTE,MA,0.61,0.55,0.751,0.55
3653,210680,MIRINZAL,MA,0.622,0.546,0.756,0.582
5253,210690,MONÇÃO,MA,0.546,0.499,0.704,0.464
4742,210700,MONTES ALTOS,MA,0.575,0.534,0.732,0.486
5225,210710,MORROS,MA,0.548,0.485,0.706,0.48
4515,210720,NINA RODRIGUES,MA,0.585,0.474,0.774,0.547
4921,210725,NOVA COLINAS,MA,0.566,0.502,0.749,0.481
4540,210730,NOVA IORQUE,MA,0.584,0.558,0.729,0.489
4614,210735,NOVA OLINDA DO MARANHÃO,MA,0.581,0.536,0.755,0.484
4416,210740,OLHO D'ÁGUA DAS CUNHÃS,MA,0.589,0.551,0.754,0.491
4742,210745,OLINDA NOVA DO MARANHÃO,MA,0.575,0.495,0.724,0.531
1191,210750,PAÇO DO LUMIAR,MA,0.724,0.646,0.796,0.739
5116,210760,PALMEIRÂNDIA,MA,0.556,0.488,0.715,0.492
4638,210770,PARAIBANO,MA,0.58,0.572,0.723,0.473
5293,210780,PARNARAMA,MA,0.542,0.504,0.758,0.416
5382,210790,PASSAGEM FRANCA,MA,0.532,0.525,0.717,0.401
3902,210800,PASTOS BONS,MA,0.61,0.54,0.753,0.559
5027,210805,PAULINO NEVES,MA,0.561,0.481,0.72,0.511
5209,210810,PAULO RAMOS,MA,0.549,0.546,0.677,0.447
2386,210820,PEDREIRAS,MA,0.682,0.644,0.792,0.621
5477,210825,PEDRO DO ROSÁRIO,MA,0.516,0.475,0.696,0.415
5146,210830,PENALVA,MA,0.554,0.519,0.693,0.472
4167,210840,PERI MIRIM,MA,0.599,0.506,0.744,0.572
4965,210845,PERITORÓ,MA,0.564,0.499,0.774,0.464
3433,210850,PINDARÉ-MIRIM,MA,0.633,0.568,0.755,0.592
3357,210860,PINHEIRO,MA,0.637,0.579,0.771,0.579
5306,210870,PIO XII,MA,0.541,0.535,0.727,0.408
4718,210880,PIRAPEMAS,MA,0.576,0.501,0.741,0.514
4718,210890,POÇÃO DE PEDRAS,MA,0.576,0.543,0.732,0.481
2332,210900,PORTO FRANCO,MA,0.684,0.664,0.796,0.606
3796,210905,PORTO RICO DO MARANHÃO,MA,0.615,0.538,0.772,0.561
3055,210910,PRESIDENTE DUTRA,MA,0.653,0.628,0.788,0.563
4984,210920,PRESIDENTE JUSCELINO,MA,0.563,0.452,0.743,0.532
4372,210923,PRESIDENTE MÉDICI,MA,0.591,0.518,0.762,0.522
5098,210927,PRESIDENTE SARNEY,MA,0.557,0.486,0.752,0.472
4467,210930,PRESIDENTE VARGAS,MA,0.587,0.47,0.768,0.56
5494,210940,PRIMEIRA CRUZ,MA,0.512,0.448,0.722,0.414
3561,210945,RAPOSA,MA,0.626,0.568,0.735,0.587
4718,210950,RIACHÃO,MA,0.576,0.572,0.757,0.442
3796,210955,RIBAMAR FIQUENE,MA,0.615,0.592,0.744,0.527
3448,210960,ROSÁRIO,MA,0.632,0.566,0.752,0.592
4941,210970,SAMBAÍBA,MA,0.565,0.542,0.728,0.456
5432,210975,SANTA FILOMENA DO MARANHÃO,MA,0.525,0.461,0.722,0.435
4827,210980,SANTA HELENA,MA,0.571,0.531,0.746,0.471
2573,210990,SANTA INÊS,MA,0.674,0.633,0.788,0.615
5194,211000,SANTA LUZIA,MA,0.55,0.525,0.7,0.452
4167,211003,SANTA LUZIA DO PARUÁ,MA,0.599,0.583,0.723,0.51
5128,211010,SANTA QUITÉRIA DO MARANHÃO,MA,0.555,0.49,0.76,0.458
3927,211020,SANTA RITA,MA,0.609,0.553,0.743,0.551
5500,211023,SANTANA DO MARANHÃO,MA,0.51,0.445,0.758,0.394
5467,211027,SANTO AMARO DO MARANHÃO,MA,0.518,0.454,0.738,0.416
4921,211030,SANTO ANTÔNIO DOS LOPES,MA,0.566,0.547,0.714,0.465
5306,211040,SÃO BENEDITO DO RIO PRETO,MA,0.541,0.468,0.749,0.452
4101,211050,SÃO BENTO,MA,0.602,0.525,0.762,0.545
4802,211060,SÃO BERNARDO,MA,0.572,0.514,0.762,0.479
4395,211065,SÃO DOMINGOS DO AZEITÃO,MA,0.59,0.576,0.732,0.486
4590,211070,SÃO DOMINGOS DO MARANHÃO,MA,0.582,0.549,0.713,0.504
5098,211080,SÃO FÉLIX DE BALSAS,MA,0.557,0.517,0.778,0.43
4540,211085,SÃO FRANCISCO DO BREJÃO,MA,0.584,0.556,0.748,0.479
5408,211090,SÃO FRANCISCO DO MARANHÃO,MA,0.528,0.503,0.733,0.4
4198,211100,SÃO JOÃO BATISTA,MA,0.598,0.493,0.752,0.577
5502,211102,SÃO JOÃO DO CARÚ,MA,0.509,0.487,0.684,0.397
3927,211105,SÃO JOÃO DO PARAÍSO,MA,0.609,0.554,0.753,0.542
5473,211107,SÃO JOÃO DO SOTER,MA,0.517,0.486,0.711,0.401
3796,211110,SÃO JOÃO DOS PATOS,MA,0.615,0.613,0.726,0.522
1665,211120,SÃO JOSÉ DE RIBAMAR,MA,0.708,0.642,0.79,0.7
5098,211125,SÃO JOSÉ DOS BASÍLIOS,MA,0.557,0.501,0.719,0.48
249,211130,SÃO LUÍS,MA,0.768,0.741,0.813,0.752
5325,211140,SÃO LUÍS GONZAGA DO MARANHÃO,MA,0.54,0.503,0.716,0.438
3771,211150,SÃO MATEUS DO MARANHÃO,MA,0.616,0.627,0.723,0.515
4029,211153,SÃO PEDRO DA ÁGUA BRANCA,MA,0.605,0.577,0.735,0.523
4144,211157,SÃO PEDRO DOS CRENTES,MA,0.6,0.558,0.738,0.524
3902,211160,SÃO RAIMUNDO DAS MANGABEIRAS,MA,0.61,0.583,0.749,0.521
5477,211163,SÃO RAIMUNDO DO DOCA BEZERRA,MA,0.516,0.478,0.7,0.41
5477,211167,SÃO ROBERTO,MA,0.516,0.475,0.738,0.391
4331,211170,SÃO VICENTE FERRER,MA,0.592,0.504,0.762,0.541
5539,211172,SATUBINHA,MA,0.493,0.45,0.72,0.369
5339,211174,SENADOR ALEXANDRE COSTA,MA,0.538,0.52,0.689,0.435
4101,211176,SENADOR LA ROCQUE,MA,0.602,0.57,0.743,0.515
5461,211178,SERRANO DO MARANHÃO,MA,0.519,0.44,0.735,0.433
4965,211180,SÍTIO NOVO,MA,0.564,0.509,0.774,0.456
4654,211190,SUCUPIRA DO NORTE,MA,0.579,0.526,0.731,0.505
4884,211195,SUCUPIRA DO RIACHÃO,MA,0.568,0.538,0.761,0.447
4167,211200,TASSO FRAGOSO,MA,0.599,0.562,0.777,0.491
5345,211210,TIMBIRAS,MA,0.537,0.498,0.73,0.427
3136,211220,TIMON,MA,0.649,0.614,0.768,0.579
3999,211223,TRIZIDELA DO VALE,MA,0.606,0.565,0.738,0.534
5128,211227,TUFILÂNDIA,MA,0.555,0.502,0.709,0.481
4802,211230,TUNTUM,MA,0.572,0.534,0.726,0.483
5027,211240,TURIAÇU,MA,0.561,0.493,0.776,0.461
5354,211245,TURILÂNDIA,MA,0.536,0.495,0.774,0.402
5027,211250,TUTÓIA,MA,0.561,0.543,0.722,0.451
4444,211260,URBANO SANTOS,MA,0.588,0.506,0.77,0.522
5293,211270,VARGEM GRANDE,MA,0.542,0.487,0.768,0.425
3735,211280,VIANA,MA,0.618,0.567,0.758,0.548
4614,211285,VILA NOVA DOS MARTÍRIOS,MA,0.581,0.555,0.718,0.491
4238,211290,VITÓRIA DO MEARIM,MA,0.596,0.54,0.733,0.534
4841,211300,VITORINO FREIRE,MA,0.57,0.563,0.688,0.477
4255,211400,ZÉ DOCA,MA,0.595,0.559,0.745,0.505
2199,310010,ABADIA DOS DOURADOS,MG,0.689,0.693,0.839,0.563
1969,310020,ABAETÉ,MG,0.698,0.72,0.848,0.556
3030,310030,ABRE CAMPO,MG,0.654,0.646,0.823,0.525
3487,310040,ACAIACA,MG,0.63,0.61,0.823,0.499
3902,310050,AÇUCENA,MG,0.61,0.595,0.844,0.451
4718,310060,ÁGUA BOA,MG,0.576,0.594,0.799,0.403
2545,310070,ÁGUA COMPRIDA,MG,0.675,0.719,0.86,0.498
2828,310080,AGUANIL,MG,0.663,0.672,0.845,0.513
3201,310090,ÁGUAS FORMOSAS,MG,0.645,0.624,0.811,0.531
4123,310100,ÁGUAS VERMELHAS,MG,0.601,0.586,0.808,0.458
2332,310110,AIMORÉS,MG,0.684,0.685,0.81,0.576
2716,310120,AIURUOCA,MG,0.668,0.677,0.871,0.505
3136,310130,ALAGOA,MG,0.649,0.634,0.832,0.518
2598,310140,ALBERTINA,MG,0.673,0.684,0.813,0.549
1133,310150,ALÉM PARAÍBA,MG,0.726,0.713,0.857,0.626
350,310160,ALFENAS,MG,0.761,0.737,0.841,0.712
2545,310163,ALFREDO VASCONCELOS,MG,0.675,0.629,0.834,0.587
3254,310170,ALMENARA,MG,0.642,0.636,0.803,0.518
3186,310180,ALPERCATA,MG,0.646,0.629,0.824,0.521
1154,310190,ALPINÓPOLIS,MG,0.725,0.703,0.862,0.629
2716,310200,ALTEROSA,MG,0.668,0.657,0.847,0.536
2870,310205,ALTO CAPARAÓ,MG,0.661,0.666,0.842,0.514
2898,315350,ALTO JEQUITIBÁ,MG,0.66,0.66,0.787,0.554
3702,310210,ALTO RIO DOCE,MG,0.62,0.595,0.828,0.483
4331,310220,ALVARENGA,MG,0.592,0.589,0.798,0.441
2524,310230,ALVINÓPOLIS,MG,0.676,0.651,0.822,0.577
4802,310240,ALVORADA DE MINAS,MG,0.572,0.57,0.794,0.414
3275,310250,AMPARO DO SERRA,MG,0.641,0.616,0.811,0.528
920,310260,ANDRADAS,MG,0.734,0.731,0.878,0.617
1904,310280,ANDRELÂNDIA,MG,0.7,0.675,0.818,0.621
4215,310285,ANGELÂNDIA,MG,0.597,0.594,0.756,0.473
2359,310290,ANTÔNIO CARLOS,MG,0.683,0.65,0.838,0.584
3201,310300,ANTÔNIO DIAS,MG,0.645,0.624,0.849,0.507
2332,310310,ANTÔNIO PRADO DE MINAS,MG,0.684,0.674,0.83,0.572
2059,310320,ARAÇAÍ,MG,0.695,0.659,0.805,0.632
2870,310330,ARACITABA,MG,0.661,0.608,0.823,0.577
2828,310340,ARAÇUAÍ,MG,0.663,0.633,0.821,0.56
197,310350,ARAGUARI,MG,0.773,0.74,0.871,0.716
1995,310360,ARANTINA,MG,0.697,0.633,0.834,0.641
5354,310370,ARAPONGA,MG,0.536,0.597,0.76,0.339
1665,310375,ARAPORÃ,MG,0.708,0.676,0.813,0.646
1191,310380,ARAPUÁ,MG,0.724,0.718,0.871,0.608
1969,310390,ARAÚJOS,MG,0.698,0.694,0.855,0.574
210,310400,ARAXÁ,MG,0.772,0.756,0.858,0.709
2359,310410,ARCEBURGO,MG,0.683,0.687,0.81,0.573
562,310420,ARCOS,MG,0.749,0.717,0.874,0.671
1107,310430,AREADO,MG,0.727,0.7,0.847,0.649
3234,310440,ARGIRITA,MG,0.643,0.645,0.817,0.505
4590,310445,ARICANDUVA,MG,0.582,0.553,0.787,0.454
2986,310450,ARINOS,MG,0.656,0.607,0.815,0.57
2078,310460,ASTOLFO DUTRA,MG,0.694,0.686,0.858,0.567
4444,310470,ATALÉIA,MG,0.588,0.592,0.813,0.423
2986,310480,AUGUSTO DE LIMA,MG,0.656,0.622,0.815,0.557
2412,310490,BAEPENDI,MG,0.681,0.664,0.833,0.57
2642,310500,BALDIM,MG,0.671,0.65,0.787,0.59
743,310510,BAMBUÍ,MG,0.741,0.735,0.87,0.636
4167,310520,BANDEIRA,MG,0.599,0.583,0.811,0.454
2134,310530,BANDEIRA DO SUL,MG,0.692,0.681,0.802,0.608
1244,310540,BARÃO DE COCAIS,MG,0.722,0.679,0.858,0.647
3136,310550,BARÃO DE MONTE ALTO,MG,0.649,0.619,0.827,0.533
238,310560,BARBACENA,MG,0.769,0.751,0.881,0.687
3607,310570,BARRA LONGA,MG,0.624,0.613,0.823,0.482
920,310590,BARROSO,MG,0.734,0.675,0.864,0.678
2573,310600,BELA VISTA DE MINAS,MG,0.674,0.644,0.795,0.597
2898,310610,BELMIRO BRAGA,MG,0.66,0.653,0.83,0.531
20,310620,BELO HORIZONTE,MG,0.81,0.841,0.856,0.737
2282,310630,BELO ORIENTE,MG,0.686,0.655,0.813,0.606
3008,310640,BELO VALE,MG,0.655,0.672,0.814,0.514
3519,310650,BERILO,MG,0.628,0.58,0.816,0.524
4055,310665,BERIZAL,MG,0.604,0.56,0.757,0.52
4284,310660,BERTÓPOLIS,MG,0.594,0.576,0.799,0.455
562,310670,BETIM,MG,0.749,0.709,0.864,0.687
3702,310680,BIAS FORTES,MG,0.62,0.605,0.796,0.495
667,310690,BICAS,MG,0.744,0.726,0.85,0.667
2224,310700,BIQUINHAS,MG,0.688,0.684,0.857,0.555
1776,310710,BOA ESPERANÇA,MG,0.704,0.694,0.855,0.587
3201,310720,BOCAINA DE MINAS,MG,0.645,0.665,0.848,0.476
1904,310730,BOCAIÚVA,MG,0.7,0.648,0.822,0.644
551,310740,BOM DESPACHO,MG,0.75,0.742,0.861,0.661
2598,310750,BOM JARDIM DE MINAS,MG,0.673,0.653,0.822,0.569
897,310760,BOM JESUS DA PENHA,MG,0.735,0.696,0.862,0.662
2359,310770,BOM JESUS DO AMPARO,MG,0.683,0.655,0.834,0.582
3631,310780,BOM JESUS DO GALHO,MG,0.623,0.615,0.8,0.491
3055,310790,BOM REPOUSO,MG,0.653,0.647,0.821,0.523
2134,310800,BOM SUCESSO,MG,0.692,0.68,0.808,0.602
3357,310810,BONFIM,MG,0.637,0.669,0.834,0.464
2481,310820,BONFINÓPOLIS DE MINAS,MG,0.678,0.655,0.796,0.598
5345,310825,BONITO DE MINAS,MG,0.537,0.514,0.776,0.388
1021,310830,BORDA DA MATA,MG,0.73,0.703,0.865,0.64
1842,310840,BOTELHOS,MG,0.702,0.702,0.868,0.568
4101,310850,BOTUMIRIM,MG,0.602,0.54,0.782,0.517
3587,310870,BRÁS PIRES,MG,0.625,0.582,0.801,0.523
2573,310855,BRASILÂNDIA DE MINAS,MG,0.674,0.646,0.848,0.559
2986,310860,BRASÍLIA DE MINAS,MG,0.656,0.612,0.813,0.568
2134,310890,BRASÓPOLIS,MG,0.692,0.697,0.841,0.566
3607,310880,BRAÚNAS,MG,0.624,0.635,0.802,0.478
599,310900,BRUMADINHO,MG,0.747,0.761,0.857,0.639
2946,310910,BUENO BRANDÃO,MG,0.658,0.662,0.848,0.507
2691,310920,BUENÓPOLIS,MG,0.669,0.65,0.796,0.579
3534,310925,BUGRE,MG,0.627,0.602,0.8,0.511
2621,310930,BURITIS,MG,0.672,0.666,0.815,0.558
3607,310940,BURITIZEIRO,MG,0.624,0.603,0.768,0.524
3156,310945,CABECEIRA GRANDE,MG,0.648,0.638,0.788,0.542
2573,310950,CABO VERDE,MG,0.674,0.686,0.847,0.527
743,310960,CACHOEIRA DA PRATA,MG,0.741,0.689,0.834,0.707
1720,310970,CACHOEIRA DE MINAS,MG,0.706,0.673,0.821,0.637
4670,310270,CACHOEIRA DE PAJEÚ,MG,0.578,0.563,0.771,0.444
1133,310980,CACHOEIRA DOURADA,MG,0.726,0.695,0.85,0.648
1720,310990,CAETANÓPOLIS,MG,0.706,0.674,0.845,0.617
1081,311000,CAETÉ,MG,0.728,0.69,0.844,0.663
3433,311010,CAIANA,MG,0.633,0.631,0.833,0.483
3756,311020,CAJURI,MG,0.617,0.599,0.804,0.487
2251,311030,CALDAS,MG,0.687,0.701,0.873,0.529
2182,311040,CAMACHO,MG,0.69,0.639,0.84,0.612
2199,311050,CAMANDUCAIA,MG,0.689,0.707,0.837,0.553
526,311060,CAMBUÍ,MG,0.751,0.722,0.872,0.674
1934,311070,CAMBUQUIRA,MG,0.699,0.691,0.856,0.577
3771,311080,CAMPANÁRIO,MG,0.616,0.607,0.831,0.464
1638,311090,CAMPANHA,MG,0.709,0.715,0.849,0.587
1969,311100,CAMPESTRE,MG,0.698,0.712,0.843,0.566
1776,311110,CAMPINA VERDE,MG,0.704,0.714,0.868,0.562
3680,311115,CAMPO AZUL,MG,0.621,0.55,0.799,0.546
1574,311120,CAMPO BELO,MG,0.711,0.706,0.868,0.586
2359,311130,CAMPO DO MEIO,MG,0.683,0.655,0.827,0.588
1720,311140,CAMPO FLORIDO,MG,0.706,0.735,0.858,0.558
1842,311150,CAMPOS ALTOS,MG,0.702,0.69,0.86,0.582
2386,311160,CAMPOS GERAIS,MG,0.682,0.666,0.821,0.58
3115,311190,CANA VERDE,MG,0.65,0.652,0.821,0.512
3136,311170,CANAÃ,MG,0.649,0.644,0.798,0.532
1244,311180,CANÁPOLIS,MG,0.722,0.721,0.872,0.598
2481,311200,CANDEIAS,MG,0.678,0.699,0.83,0.537
3469,311205,CANTAGALO,MG,0.631,0.598,0.816,0.515
3607,311210,CAPARAÓ,MG,0.624,0.614,0.836,0.473
3156,311220,CAPELA NOVA,MG,0.648,0.602,0.797,0.568
3055,311230,CAPELINHA,MG,0.653,0.641,0.824,0.527
2545,311240,CAPETINGA,MG,0.675,0.68,0.848,0.533
2059,311250,CAPIM BRANCO,MG,0.695,0.664,0.837,0.604
1217,311260,CAPINÓPOLIS,MG,0.723,0.747,0.841,0.601
3607,311265,CAPITÃO ANDRADE,MG,0.624,0.63,0.805,0.478
3312,311270,CAPITÃO ENÉAS,MG,0.639,0.573,0.806,0.565
1595,311280,CAPITÓLIO,MG,0.71,0.709,0.825,0.612
3796,311290,CAPUTIRA,MG,0.615,0.609,0.809,0.471
5081,311300,CARAÍ,MG,0.558,0.549,0.781,0.405
3407,311310,CARANAÍBA,MG,0.634,0.593,0.807,0.533
1995,311320,CARANDAÍ,MG,0.697,0.663,0.821,0.622
2059,311330,CARANGOLA,MG,0.695,0.699,0.837,0.573
1720,311340,CARATINGA,MG,0.706,0.697,0.836,0.603
3333,311350,CARBONITA,MG,0.638,0.617,0.796,0.529
2359,311360,CAREAÇU,MG,0.683,0.666,0.824,0.581
3156,311370,CARLOS CHAGAS,MG,0.648,0.641,0.826,0.513
3115,311380,CARMÉSIA,MG,0.65,0.631,0.805,0.54
3008,311390,CARMO DA CACHOEIRA,MG,0.655,0.672,0.801,0.523
2199,311400,CARMO DA MATA,MG,0.689,0.68,0.84,0.572
2386,311410,CARMO DE MINAS,MG,0.682,0.668,0.845,0.562
1595,311420,CARMO DO CAJURU,MG,0.71,0.695,0.853,0.605
1756,311430,CARMO DO PARANAÍBA,MG,0.705,0.713,0.861,0.571
940,311440,CARMO DO RIO CLARO,MG,0.733,0.715,0.85,0.649
1904,311450,CARMÓPOLIS DE MINAS,MG,0.7,0.694,0.85,0.582
743,311455,CARNEIRINHO,MG,0.741,0.749,0.873,0.622
1154,311460,CARRANCAS,MG,0.725,0.687,0.877,0.632
1191,311470,CARVALHÓPOLIS,MG,0.724,0.688,0.85,0.648
3186,311480,CARVALHOS,MG,0.646,0.667,0.82,0.492
3070,311490,CASA GRANDE,MG,0.652,0.608,0.823,0.555
1266,311500,CASCALHO RICO,MG,0.721,0.734,0.845,0.604
1776,311510,CÁSSIA,MG,0.704,0.723,0.837,0.576
526,311530,CATAGUASES,MG,0.751,0.718,0.861,0.685
2332,311535,CATAS ALTAS,MG,0.684,0.665,0.828,0.582
